Category,Manufacturer,Medicine_Form,Price,Current_Stock,Quantity_Sold,Supplier_Name,Supplier_Lead_Time,Days_To_Expiry,Season,Month,Is_Festival,Avg_Last_7_Days_Sales,Avg_Last_30_Days_Sales,Safety_Stock,Reorder_Level,Storage_Requirements,Future_Demand
5,0,0,293.32,419,28,1,9,214,1,4,0,29,37,32,53,2,35
3,5,2,26.51,385,22,3,7,409,1,5,0,22,28,54,70,0,32
4,4,1,82.18,86,16,2,12,270,0,6,0,16,21,39,34,2,24
6,2,1,343.08,399,12,0,2,369,1,3,0,8,13,41,91,1,18
5,0,0,293.32,190,43,1,6,688,0,7,0,42,45,24,79,2,48
2,0,0,277.91,337,10,0,6,112,0,6,0,14,16,36,52,0,12
6,0,3,194.11,296,48,1,14,894,1,3,1,48,46,72,90,2,49
0,0,2,441.14,340,15,3,6,439,2,2,0,12,25,27,45,1,25
2,5,3,53.22,436,22,2,4,603,1,5,0,27,23,68,95,0,25
5,4,0,400.21,130,46,0,4,782,2,2,0,47,54,55,46,0,48
7,1,3,346.55,120,10,1,3,531,2,2,0,6,10,66,42,0,13
6,4,3,302.46,285,14,4,5,350,0,7,1,17,5,44,83,2,13
7,3,2,123.69,298,9,0,8,404,1,4,0,12,18,73,95,2,20
5,4,2,156.72,324,16,2,5,88,0,7,0,14,6,67,70,1,15
0,3,1,41.1,408,9,1,9,250,1,5,0,13,2,57,60,2,17
1,2,0,82.18,368,31,1,14,403,0,7,0,36,39,78,94,2,34
6,4,0,408.86,31,30,1,4,879,1,5,0,35,22,76,77,2,32
3,0,0,61.98,175,58,4,5,715,2,2,0,53,63,58,32,1,63
5,1,0,477.89,108,24,4,13,363,1,4,0,25,25,33,51,0,31
5,4,2,156.72,213,18,2,14,914,1,3,0,21,15,55,89,1,20
0,5,3,141.9,385,58,2,10,321,0,6,0,63,64,37,49,2,69
5,2,3,156.68,226,33,4,12,313,1,5,0,36,36,50,90,1,43
0,1,2,184.21,432,58,3,13,568,1,3,0,62,57,25,83,1,67
6,2,1,343.08,406,5,0,2,745,2,1,0,10,2,36,52,1,14
