Category,Manufacturer,Medicine_Form,Price,Current_Stock,Quantity_Sold,Supplier_Name,Supplier_Lead_Time,Days_To_Expiry,Season,Month,Is_Festival,Avg_Last_7_Days_Sales,Avg_Last_30_Days_Sales,Safety_Stock,Reorder_Level,Storage_Requirements,Stock_to_Safety_Ratio,Sales_Velocity,Future_Demand
5,0,0,293.32,419,28,1,9,214,1,4,0,29,37,32,53,2,12.696969696969697,0.06904761904761905,35
3,5,2,26.51,385,22,3,7,409,1,5,0,22,28,54,70,0,7.0,0.05699481865284974,32
4,4,1,82.18,86,16,2,12,270,0,6,0,16,21,39,34,2,2.15,0.1839080459770115,24
6,2,1,343.08,399,12,0,2,369,1,3,0,8,13,41,91,1,9.5,0.02,18
5,0,0,293.32,190,43,1,6,688,0,7,0,42,45,24,79,2,7.6,0.2198952879581152,48
2,0,0,277.91,337,10,0,6,112,0,6,0,14,16,36,52,0,9.108108108108109,0.04142011834319527,12
6,0,3,194.11,296,48,1,14,894,1,3,1,48,46,72,90,2,4.054794520547945,0.16161616161616163,49
0,0,2,441.14,340,15,3,6,439,2,2,0,12,25,27,45,1,12.142857142857142,0.03519061583577713,25
2,5,3,53.22,436,22,2,4,603,1,5,0,27,23,68,95,0,6.318840579710145,0.06178489702517163,25
5,4,0,400.21,130,46,0,4,782,2,2,0,47,54,55,46,0,2.3214285714285716,0.35877862595419846,48
7,1,3,346.55,120,10,1,3,531,2,2,0,6,10,66,42,0,1.791044776119403,0.049586776859504134,13
6,4,3,302.46,285,14,4,5,350,0,7,1,17,5,44,83,2,6.333333333333333,0.05944055944055944,13
7,3,2,123.69,298,9,0,8,404,1,4,0,12,18,73,95,2,4.027027027027027,0.04013377926421405,20
5,4,2,156.72,324,16,2,5,88,0,7,0,14,6,67,70,1,4.764705882352941,0.043076923076923075,15
0,3,1,41.1,408,9,1,9,250,1,5,0,13,2,57,60,2,7.0344827586206895,0.03178484107579462,17
1,2,0,82.18,368,31,1,14,403,0,7,0,36,39,78,94,2,4.658227848101266,0.0975609756097561,34
6,4,0,408.86,31,30,1,4,879,1,5,0,35,22,76,77,2,0.4025974025974026,1.09375,32
3,0,0,61.98,175,58,4,5,715,2,2,0,53,63,58,32,1,2.9661016949152543,0.30113636363636365,63
5,1,0,477.89,108,24,4,13,363,1,4,0,25,25,33,51,0,3.176470588235294,0.22935779816513763,31
5,4,2,156.72,213,18,2,14,914,1,3,0,21,15,55,89,1,3.8035714285714284,0.09813084112149532,20
0,5,3,141.9,385,58,2,10,321,0,6,0,63,64,37,49,2,10.131578947368421,0.16321243523316062,69
5,2,3,156.68,226,33,4,12,313,1,5,0,36,36,50,90,1,4.431372549019608,0.15859030837004406,43
0,1,2,184.21,432,58,3,13,568,1,3,0,62,57,25,83,1,16.615384615384617,0.14318706697459585,67
6,2,1,343.08,406,5,0,2,745,2,1,0,10,2,36,52,1,10.972972972972974,0.02457002457002457,14
4,3,1,437.94,456,38,2,4,381,1,3,0,41,29,65,30,1,6.909090909090909,0.08971553610503283,44
6,1,2,486.16,194,33,2,2,310,2,1,0,31,28,69,79,1,2.7714285714285714,0.15897435897435896,35
2,1,3,267.32,392,32,2,3,542,2,1,0,30,25,56,62,1,6.87719298245614,0.07633587786259542,37
1,5,3,482.81,149,8,2,3,613,1,3,0,10,8,40,85,2,3.6341463414634148,0.06666666666666667,8
1,5,0,410.5,411,52,0,9,765,1,4,0,56,61,48,48,0,8.387755102040817,0.13592233009708737,60
4,1,3,93.03,405,25,1,7,880,0,7,0,22,19,52,53,2,7.6415094339622645,0.054187192118226604,27
7,3,2,123.69,293,11,0,11,763,2,2,0,13,12,70,86,2,4.126760563380282,0.04421768707482993,13
0,2,1,95.12,339,38,0,12,628,1,3,0,33,42,58,95,2,5.745762711864407,0.09705882352941177,46
6,5,3,164.14,65,58,1,3,417,2,1,1,61,55,71,57,1,0.9027777777777778,0.9242424242424242,65
7,1,1,362.34,264,30,1,8,162,1,3,0,34,32,61,87,2,4.258064516129032,0.12830188679245283,39
0,5,2,441.43,339,8,3,9,641,0,7,0,5,1,27,65,1,12.107142857142858,0.014705882352941176,14
5,3,0,219.86,74,27,1,10,443,2,2,1,27,29,37,58,0,1.9473684210526316,0.36,30
6,1,2,486.16,135,39,2,13,381,2,1,0,34,48,70,72,1,1.9014084507042253,0.25,44
6,4,3,302.46,175,23,4,6,721,0,7,0,21,22,52,84,2,3.30188679245283,0.11931818181818182,23
1,2,2,70.79,79,35,0,11,310,1,5,0,36,28,24,95,2,3.16,0.45,41
2,1,3,267.32,249,39,2,4,578,0,6,0,36,34,66,65,1,3.716417910447761,0.144,39
0,3,2,226.22,181,35,4,5,264,2,1,0,37,42,33,47,2,5.323529411764706,0.2032967032967033,45
2,4,0,450.78,300,10,0,7,720,1,5,0,5,19,60,65,1,4.918032786885246,0.016611295681063124,11
0,1,3,112.93,147,31,2,4,226,1,3,0,27,35,49,65,1,2.94,0.18243243243243243,31
5,4,0,400.21,238,42,0,13,775,0,7,1,47,40,74,64,0,3.1733333333333333,0.19665271966527198,49
2,0,2,398.04,380,24,0,9,317,0,6,0,20,33,57,69,0,6.551724137931035,0.05249343832020997,32
4,1,1,129.97,41,17,2,13,413,2,2,0,15,11,47,59,0,0.8541666666666666,0.35714285714285715,18
6,4,3,302.46,409,37,4,10,531,1,4,0,38,44,26,37,2,15.148148148148149,0.09268292682926829,38
0,3,2,166.96,374,33,4,11,365,2,2,0,31,26,59,40,1,6.233333333333333,0.08266666666666667,34
5,4,2,156.72,385,40,2,14,806,1,3,0,39,43,43,81,1,8.75,0.10103626943005181,43
1,2,2,70.79,498,52,0,2,340,2,2,0,56,62,22,34,2,21.652173913043477,0.11222444889779559,60
0,3,2,282.07,50,59,2,4,729,1,5,0,54,49,48,80,2,1.0204081632653061,1.0588235294117647,57
4,5,3,346.65,180,58,1,9,133,1,4,0,55,49,53,73,1,3.3333333333333335,0.30386740331491713,55
1,2,0,157.34,421,54,2,5,366,2,1,0,58,50,29,47,2,14.033333333333333,0.13744075829383887,63
4,5,3,346.65,347,14,1,2,366,2,1,0,11,15,27,94,1,12.392857142857142,0.031609195402298854,13
2,1,3,56.6,395,54,4,3,603,2,1,0,52,62,45,51,2,8.58695652173913,0.13131313131313133,60
2,0,2,398.04,368,53,0,13,471,1,3,1,50,54,45,68,0,8.0,0.13550135501355012,58
6,3,2,356.47,497,48,1,6,379,0,7,0,49,48,72,68,0,6.808219178082192,0.09839357429718876,57
1,2,2,70.79,295,15,0,10,134,2,1,0,10,10,55,66,2,5.267857142857143,0.033783783783783786,21
0,3,0,49.41,109,7,3,9,156,1,5,0,9,6,28,64,2,3.7586206896551726,0.08181818181818182,13
6,0,3,194.11,91,24,1,7,892,1,4,0,19,24,45,73,2,1.9782608695652173,0.20652173913043478,24
0,0,2,127.2,342,57,3,13,689,2,2,0,56,60,71,43,1,4.75,0.16326530612244897,60
0,3,2,226.22,430,25,4,9,305,1,5,1,24,31,31,65,2,13.4375,0.05568445475638051,26
1,2,1,244.64,480,23,1,14,814,2,2,0,21,21,62,47,1,7.619047619047619,0.04365904365904366,23
4,5,3,357.54,84,13,3,9,184,1,4,1,17,14,67,33,2,1.2352941176470589,0.2,18
0,1,2,184.21,175,32,3,7,597,2,2,0,29,34,57,82,1,3.0172413793103448,0.16477272727272727,36
1,2,2,70.79,363,40,0,5,457,1,3,0,45,40,72,86,2,4.972602739726027,0.12362637362637363,46
1,5,3,482.81,285,37,2,12,705,0,7,0,33,47,69,59,2,4.071428571428571,0.11538461538461539,38
0,0,2,441.14,238,14,3,5,689,1,4,0,13,8,21,44,1,10.818181818181818,0.05439330543933055,18
1,2,1,244.64,378,42,1,12,431,2,2,0,42,34,51,62,1,7.269230769230769,0.11081794195250659,41
